model_name,block_type
swin_v2_t,"['LayerNorm', 'LayerNorm', 'Linear', 'Linear', 'Linear']"
swin_v2_t,Conv2d
swin_v2_t,Permute
swin_v2_t,StochasticDepth
swin_v2_t,AdaptiveAvgPool2d
swin_v2_t,Linear
swin_v2_t,Dropout
swin_v2_t,GELU
swin_v2_t,Flatten
swin_v2_t,LayerNorm
swin_v2_t,ReLU
vgg11,"['Conv2d', 'ReLU', 'MaxPool2d', 'Conv2d', 'ReLU']"
vgg11,MaxPool2d
vgg11,Conv2d
vgg11,AdaptiveAvgPool2d
vgg11,Linear
vgg11,Dropout
vgg11,ReLU
vgg11_bn,"['Conv2d', 'BatchNorm2d', 'ReLU', 'MaxPool2d', 'Conv2d']"
vgg11_bn,MaxPool2d
vgg11_bn,Conv2d
vgg11_bn,AdaptiveAvgPool2d
vgg11_bn,Linear
vgg11_bn,Dropout
vgg11_bn,BatchNorm2d
vgg11_bn,ReLU
vgg13,"['Conv2d', 'ReLU', 'Conv2d', 'ReLU', 'MaxPool2d']"
vgg13,Linear
vgg13,Dropout
vgg13,AdaptiveAvgPool2d
vgg13,ReLU
vgg13_bn,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
vgg13_bn,MaxPool2d
vgg13_bn,AdaptiveAvgPool2d
vgg13_bn,Linear
vgg13_bn,Dropout
vgg13_bn,ReLU
vgg16,"['Conv2d', 'ReLU', 'Conv2d', 'ReLU', 'MaxPool2d']"
vgg16,Conv2d
vgg16,AdaptiveAvgPool2d
vgg16,Linear
vgg16,Dropout
vgg16,ReLU
vgg16_bn,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
vgg16_bn,MaxPool2d
vgg16_bn,Conv2d
vgg16_bn,AdaptiveAvgPool2d
vgg16_bn,Linear
vgg16_bn,Dropout
vgg16_bn,BatchNorm2d
vgg16_bn,ReLU
vgg19,"['Conv2d', 'ReLU', 'Conv2d', 'ReLU', 'MaxPool2d']"
vgg19,Conv2d
